customer_tweet_id,customer_message,intent,amazon_reply,escalation_label,escalation_notes,ai_decision,correct
69804,@AmazonHelp No mail received,other,@131812 You might have received an email from Social Media team here: https://t.co/8DAc10S7ww. Kindly reply to it with the preferable timings for a call back and we'll reach out to you accordingly. ^RB,ESCALATE,Customer has not received expected communication,AUTO-HANDLE,False
86126,"@AmazonHelp No one was conciliatory, no one apologized for the blatant lying (which is recorded in chat transcripts), and I won't get my package on time. This isn't the first time. @115821 doesn't care about delivery in rural areas. Prime or not.",delivery_issue,"@134801 Hello Ryan, we're sorry that you did not receive your package and we understand your frustration with us regarding the time frame of delivery. We would like to assist. What is the UPS tracking showing? Have you received an email from us stating a delay in delivery? ^TE",ESCALATE,Repeated delivery failure and strong frustration,ESCALATE,True
26880,"@AmazonHelp hi, I have a credit card charge for prime every month when I am not a subscriber. Can you help?",payment_issue,@121886 I'm sorry about the charge. Please report this to our support team here: https://t.co/vlvfJr4nN9 we'll be happy to help. ^AR,ESCALATE,Unauthorized recurring Prime charge,ESCALATE,True
43637,I’ve fucking moved and I still can’t get a package in time. This time the lazy @118706 said my mailbox is blocked. Total bullshit https://t.co/I8geIIy36F,delivery_issue,@125680 I'm sorry for the trouble! We'd like to help if we can. Please reach out to us here so we can look into this together: https://t.co/hApLpMlfHN ^MO,ESCALATE,Delivery problem with complaint about service,ESCALATE,True
96850,"@AmazonHelp That's annoying. Your idiot driver unloaded 20+ packages to my business, but mine was left in his personal vehicle.",delivery_issue,"@137139 I understand your frustration, Jordan! We'd like to escalate this for you! Using the link that FR provided, your information will be sent directly to a member of our team.  ^AR",ESCALATE,Package mishandled by driver,ESCALATE,True
36348,@AmazonHelp Thanks. I am a Big fan of Amazon overall but courier chucked it over fence and it had no packaging 🙄 and it was a Cmas present for me from the Mrs.  Whoops.,delivery_issue,"@123925 Have you reached out to us here: https://t.co/JzP7hlA23B regarding the carrier tossing the package over the fence? If not, we'd like to look into that for you as well! ^AD",ESCALATE,Package damaged by improper delivery,ESCALATE,True
28431,@AmazonHelp I have had an order frozen for a month. Spoken to reps 5x and it still isn't fixed. Why can't you fix the order?,order_issue,@122219 That's strange! Sorry to hear this. What did the reps advise? ^PK,ESCALATE,Issue unresolved after contacting support multiple times,ESCALATE,True
118838,@115830 maybe your delivery guys could use their common sense -  if my safe place happens to be outside and it's pouring down then perhaps don't leave it! The box of the present I have got someone is just falling apart due to the water! 😠😠,delivery_issue,"@142344 Hello, Beth. I'm sorry your package was left out in the rain. That's definitely not the type of service that we aim to provide. Please give us a chance to look into this for you and reach out to us using the link provided here: https://t.co/JzP7hlA23B ^FJ",ESCALATE,Package damaged by rain due to delivery handling,AUTO-HANDLE,False
24955,"@AmazonHelp As per your mail someone was supposed to collect the order today for replacement but nobody came, are you people serious about service or nt",delivery_issue,"@121399 Sorry to learn that, please respond to the email you've received from our team for further assistance. ^SU",ESCALATE,Scheduled replacement collection was missed,ESCALATE,True
108153,"@AmazonHelp Ah, acho que o ""O Mínimo..."", pois gosto de ensaios. Mas o outro vem em seguida.",other,"@140008 Boa escolha! Tomara que você curta muito a leitura dos seus novos livros, Alexandre! :3 ^CR",AUTO-HANDLE,General conversation,AUTO-HANDLE,True
21904,"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?",product_device_issue,@120773 It can connect to all the smart electronics at your place. 3/3 ^RW,AUTO-HANDLE,Routine product information,AUTO-HANDLE,True
108248,@AmazonHelp Ainda indecisaaaa! Tantas opções! ♡,other,@140026 Você tem autores favoritos?.  ❤️😃 ^NB,AUTO-HANDLE,General conversation,AUTO-HANDLE,True
