message,actual,predicted
@AmazonHelp Ah... Et donc je ne peux pas négocier ce prix ? J'aimerai vraiment cette paire,other,payment_issue
@AmazonHelp Had Prime trial a few weeks. Made 2 orders. Both delayed beyond GUARANTEED delivery date. Dont guarantee what you cant deliver.,other,prime_issue
@AmazonHelp Still I didn't received any update from your end. I have to book order today,other,order_issue
"@115850 Pathetic..Again ur delivery is delayed and this tym it is not even half way mark. This is happening to ur Prime User. Can it be expedited.
Wat has happnd to ur delivery service...goin bad to worst..
My Order Details below https://t.co/wMgkZ9PN31",delivery_issue,order_issue
@AmazonHelp Have replied to Ur mail. Hope for a more logical response from your side.,delivery_issue,other
@AmazonHelp my friend has had money taken out of her bank and she hasn't bought anything and isn't signed up for anything @138670,other,payment_issue
@AmazonHelp I have checked all my mails and had received your last mail on 29th stating you will receive an update in next 24 hrs. No revert received,other,refund_return
The keypad on my Kindle fire has disappeared.  The whole thing seems locked.  Anyone out there who can advise? @AmazonHelp,product_device_issue,cancellation_issue
@AmazonHelp I'm not giving any order details I'm just informing you that I can't really respond back to an email saying it'll take 2-3 business days to resolve my issue that you have been promising to resolve within 24 hours from the past 16 days now!,other,order_issue
@AmazonHelp my book came like this? :( https://t.co/YXO3XhNvhj,delivery_issue,other
"@AmazonHelp Well my safe place is the recycling bin which was emptied yesterday, so I hope not! And my neighbours aren’t currently in to check",delivery_issue,refund_return
@AmazonHelp Gracias. Ahora borro el tuit. Necesito saber porqué no he recibido mi pedido y cuándo voy a hacerlo. mi ref403-3195704-8493158. Gracias,other,account_issue
"@AmazonHelp No, is USPS even contactable, esp after hours?  I'll wait and see what happens tomorrow. Two delivery mishaps this month - one UPS, one USPS",other,delivery_issue
My order number: 171-2623585-5777153 is not yet delivered. This is the third time I am facing the problem @115850,delivery_issue,order_issue
"@AmazonHelp placed with delivery for Wed by 8pm, A confirmation last night now says Thur by 8pm, and the rep said Thur by noon",other,delivery_issue
"começou, já tem desconto nos Kindles, galera. já pra @117086 garantir o seu melhor gadget...",prime_issue,account_issue
@115850 you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,delivery_issue,prime_issue
@AmazonHelp already contacted your customer support team.. they are of no help..if u cant call then arrange for a call from your senior management. @115851 I guess atleast this you get it done,other,cancellation_issue
@AmazonHelp I’m trying off my fire stick,product_device_issue,other
"@AmazonHelp Loop isn't working Repeat this song works but only plays song once. I used 2 say "" Play X song on repeat."" &amp; the song would play over &amp; over",other,product_device_issue
"@AmazonHelp @115850 @115821 so as per your help team, if a seller packs trash and sends to a customer then it's fine and he is not liable. As long as the packaging is good and product is received in tact, the customer is at risk of receiving trash. Pathetic customer service.",other,refund_return
@AmazonHelp J'ai passé une commande le 20/11 pour livraison le 28/11 entre 10 et midi (amazon prime + supplément créneau horaire + supplément emballage cadeau car il s'agissait d'un événement important) Le 27 je reçois un mail disant que le colis a été expédié. jusque la tout va bien 1/1,other,delivery_issue
@AmazonHelp Please send a link to the phone number. Almost impossible to find on your website. I need to get sorted ASAP as this is a birthday present,product_device_issue,order_issue
I don’t understand why @115821 Prime isn’t shipping promptly anymore. I spend tens of thousands a year with them. No two day service. 😬,account_issue,prime_issue
"@AmazonHelp In general words, I'll get the amount back in my bank account?",refund_return,payment_issue
@AmazonHelp Thank You!!,delivery_issue,other
"Querido @116875 siempre te recomendé y defendí. Hoy, tú servicio al cliente y logística de entrega me decepcionaron terriblemente. Mi fin de semana no será como lo planee gracias a la falta de seriedad en tu entrega. 📦",delivery_issue,account_issue
@AmazonHelp hi an item i orderd says it cannot be delivered and i am to contact amazon for assistance?,other,order_issue
@AmazonHelp obg lindinho (a) vc é top demais,payment_issue,account_issue
@AmazonHelp No idea what this is.  It has never happened before it either goes to a neighbour or I get a calling card through the door. Regardless on the front of the house in full  view is not a safe place. So why was it out there?,delivery_issue,product_device_issue
@AmazonHelp Mi compra esta retenida desde el viernes pasado :(,order_issue,other
@AmazonHelp ¿A poco no mi Holly está bien chispa? P.D. Quiero un dinosaurio como Ruperto. https://t.co/aS2YR7a50M,delivery_issue,prime_issue
@AmazonHelp I've sent an email. Briefly my issue is that there's no provision on the ID check email to alert you that it wasn't requested.,delivery_issue,other
"@AmazonHelp So this order 407-7402036-7182732
Placed on 30th and supposed to reach me on 2nd  November
Now is this as per amazon prime delivery std ??",delivery_issue,prime_issue
@AmazonHelp Amazon dice di aver dato il pacco al corriere il corriere dice di non aver ricevuto il pacco 🤥,delivery_issue,prime_issue
"@AmazonHelp Demande d’une première attestation sur l’honneur de non réception, que j’envoie, aujourd’hui je retrouve un nouveau mail qui me demande la même chose ! J’appelle on me dit 48h à nouveau ! Et console en rupture ! Cool j’ai payé !",delivery_issue,account_issue
@AmazonHelp C’est pas ce que j’ai demandé.. mais merci quand même de votre part 😂😉👍,other,order_issue
@115850 We need # NO SHAVE NOVEMBER # sale @ amazon,delivery_issue,payment_issue
"@AmazonHelp Yes, letting me ""it's delayed"", well duh! How the he'll does it go from pre-order to out of stock?",order_issue,delivery_issue
