customer_tweet_id,customer_id,customer_message,amazon_reply_id,amazon_reply,intent,label_notes
126107,144294,"@AmazonHelp The email says you are on the last stage of investigation, not sure what is so complicated? Like I mentioned it's been 12 days!",126106,"@144294 I get you being upset about the delay, however; we're working to resolve this at the earliest for you. Further, you can reply to our correspondence and we'll be sure to reach out to you soon with an update. Appreciate your understanding. ^VN",other,
71933,132140,@AmazonHelp Specifically this one https://t.co/lOvLuVmXHu,71936,"@132140 Juanmi, we don't have any more stock of this item right now, and we're not sure when we'll be able to get more but you can keep an eye on our Website to verify the availability. ^VL",other,
77378,133247,@AmazonHelp No luck.,77376,@133247 Sorry you have not received your package yet. We would like to take a closer look with you regarding the order. If you could reach out to us via phone or chat here: https://t.co/hApLpMlfHN we would be happy to assist further. ^TE,other,
63817,130666,"@115821 @AmazonHelp Sir, i got a mail by ur team again that they cant process my refund. I request you to check the vedio again and reconcern the issue. Its your delivery teams fault of missing the item. Please dont make me to share this empty box vedio all over other sites and higher authorities.",71891,@130666 Resolution provided in the mail is the best we could offer at this point in time. Appreciate your understanding. ^VH,refund_return,
73416,132419,@AmazonHelp Era il 29 per l'ultimo ordine,73418,@132419 Il corriere era Amazon Logistics? ^EA,order_issue,
14012,118951,"@AmazonHelp Don't be silly.  Read the Tweet!  I NEED 2 KNOW HOW U INSTRUCT CUSTOMERS.

What is the plan?  We've tenants who think they've the rite 2 store empty AF totes in the common area presumably awaiting PickUp 10+ days is 10 days longer that the small front hall common area can handle.",14010,@118951 Please provide your information in the link FR provided and we'll have a team member look into this personally and reach out to you. I'm sorry for any inconvenience. ^HS,delivery_issue,
108163,140010,"começou, já tem desconto nos Kindles, galera. já pra @117086 garantir o seu melhor gadget...",108161,@140010 Boa tarde Lucia! Você já conferiu as promoções no nosso site? Tem muita coisa boa! 😍🎁👏  ^JJ,prime_issue,
91480,135828,This is some pricing... Even delivery charges seem interesting... Wonder how did they arrive at it... @115850 https://t.co/PGyjy4bj8o,91478,"@135828 Prices on our website is offered as per seller's discretion. However, we will forward it internally for review. ^VH",other,
95301,136723,@116316  I've lived in four countries and by far yours is the worst @115821 service I've ever experienced.,95299,"@136723 Hey Dani, please let us know what happened! ^LN",other,
17196,119791,"@AmazonHelp I dont need to contact u now, it is as mistake take that i paid for Prime.",17198,"@119791 I get your disappointment. However, we'll not be able to contact you over Twitter. Kindly reach (1/2) ^GK",prime_issue,
78851,133581,"@115850 recharged my Jio using Amazon Pay on 10th Nov with an offer of 99Rs of cashback.Received a message that it will be credited within 7 days.14days down the line still no sight of the cashback.
Order ID:405-1642007-6844337. Kindly check",78850,"@133581 That's unusual. Please report this to our support team here: https://t.co/vlvfJr4nN9. We'll assist you further. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^JS",payment_issue,
109831,140388,@AmazonHelp Mi compra esta retenida desde el viernes pasado :(,109834,@140388 Lamentamos los inconvenientes con tu pedido. Nos gustaría saber ¿Ya te has puesto en contacto con el transportista? En este enlace puedes encontrar la información de contacto de los transportistas: https://t.co/l2spuiwlpF. ^MZ,order_issue,
62175,130239,Necesito ayudaaaaa ¿a alguien se le ha retrasado algún pedido en @116928 alguna vez?😔😔,62173,"@130239 Hola, Buffy. Sin compartir el número de pedido, ¿podrías darnos más detalles de lo ocurrido? ^CR",delivery_issue,
19199,120264,@AmazonHelp problem not resolved yet...high time now,19203,@120264 Sorry to know about the delay in resolving your query. I'd like to take a closer look at this. ^AK (1/2),other,
20034,120404,@AmazonHelp how do i delete my old credit cards from the list,20033,@120404 please check this link here: https://t.co/nGMwhpjmNo (2/2) ^KA,payment_issue,
125300,144098,"@AmazonHelp Hey, klaro. Ist leider schon ein paar Tage so. Stellt sich immer wieder auf deutsch zurück. Mit der app vom tv geht's, aber das ist mir immer zu umständlich",125298,@144098 Hmm - ist die App auch auf dem neusten Stand? ^NW,product_device_issue,
14294,119041,@115821 logistics doing a laughably terrible job of delivering my package. Anyone else noticing a serious dip in customer service?,14292,@119041 I'm sorry about this experience! Have we missed our initial delivery date promised in Your Orders: https://t.co/Y5jpI9gRhE ^EB,delivery_issue,
67427,131400,@11__credit_card__ could you please provide me whose delivering this and his number cause I gotta leave my house soon,67428,@131400 We cannot check your order details over social platform. Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,delivery_issue,
657,115839,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",656,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,other,
