customer_message,gold_intent,predicted_intent,confidence,expected_decision,predicted_decision,reason
@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,other,refund_return,0.26684737,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp can someone from your team call me.,other,other,0.32056382,ESCALATE,ESCALATE,Customer explicitly requested human support.
@115830 Where is all the PRIME member specific offers for Black Friday? The early deals? The prime only deals? This years so called sales seem a little shit actually.,prime_issue,prime_issue,0.3113316,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp As of now the aspect ratio seems to be 1:1. Very irritating.,product_device_issue,product_device_issue,0.2765943,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.",delivery_issue,order_issue,0.27031612,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"Constantly getting notifications that my @115821 orders arrived when they didn’t. And the customer service agent I’m chatting with is so rude. I already canceled Fresh.. don’t want to cancel Prime, too 😐",delivery_issue,delivery_issue,0.18614557,AUTO-HANDLE,ESCALATE,Customer explicitly requested human support.
@AmazonHelp just wanted to confirm that call of duty will ship tomorrow if I chose 2 day shipping like it said to do. Currently says friday,delivery_issue,delivery_issue,0.3056457,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp All the time you and your team gives customer only sorry 
Not solution
#uninstallamazon",other,cancellation_issue,0.19629134,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Can you please just answer my question? Yes you missed the delivery date. Its become a pattern. Do you have a link to the official 2 day shipping policy for Prime members?,delivery_issue,prime_issue,0.31334028,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@115830 #sigh. Expecting delivery to a commercial address, the delivery van is 10 minutes from me. What algorithm do you use to arrange deliveries? FIFO? FILO? Bees algorithm? Travelling salesman? https://t.co/1GGWyOmheX",delivery_issue,delivery_issue,0.26793164,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp hi, I have a credit card charge for prime every month when I am not a subscriber. Can you help?",payment_issue,prime_issue,0.47923604,AUTO-HANDLE,ESCALATE,High-risk security or payment concern.
